,mean,std,std_over_mean,rfi_ratio,rfi_mean,rfi_std,rfi_min,rfi_max,rfi_std_over_rfi_mean,rfi_min_data_percentile,rfi_min_stds_from_mean,rfi_min_means_from_mean,rfi_min_div_mean,rfi_max_over_rfi_min,rfi_perc10,rfi_perc10_data_percentile,rfi_perc10_stds_from_mean,rfi_perc10_over_rfi_min,nonrfi_mean,nonrfi_std,nonrfi_min,nonrfi_max,nonrfi_std_over_nonrfi_mean,nonrfi_max_data_percentile,nonrfi_max_stds_from_mean,nonrfi_max_means_from_mean,nonrfi_max_div_mean,nonrfi_max_over_nonrfi_min,rfi_mean_over_nonrfi_mean,nonrfi_perc90,nonrfi_perc90_data_percentile,nonrfi_perc90_stds_from_mean,nonrfi_max_over_nonrfi_perc90,nonrfi_max_over_rfi_min,overlap_ratio,rfi_overlap_ratio,nonrfi_overlap_ratio,nonrfi_perc90_minus_rfi_perc10,nonrfi_perc90_over_rfi_perc10
0,1.3639293,12.661234,9.282911,0.0140533447265625,75.138016,76.674644,0.0007791983,258.488,1.0204507,0.0019683837890625,-0.10766329,-0.99942875,0.0005712894,331735.84,4.453573846817017,0.9873542785644531,0.24402397104728094,5715.584596420655,0.31237856,0.33407712,9.4155585e-05,1.8329991,1.0694624,0.9865455627441406,0.037047718,0.34391066,1.3439107,19467.768,240.53513,0.8579333066940308,0.8877143859863281,-0.03996419060901612,5715.584596420655,2352.4167,0.9845733642578125,0.04288816503800217,0.9980035595449973,-0.099639892578125,0.19263929064681354
1,2.6428213,4.186011,1.5839175,0.011554718017578125,19.166035,23.440992,0.026527947,127.52836,1.2230486,0.00882720947265625,-0.62500876,-0.9899623,0.010037738,4807.3213,0.6542441010475158,0.4422607421875,-0.4750530488508493,24.662447705156612,2.4496682,2.841725,0.0036095404,10.541875,1.1600449,0.9945335388183594,1.8870122,2.9888716,3.9888716,2920.5588,7.823931,7.0401613235473635,0.8944129943847656,1.0504846218136374,24.662447705156612,397.3875,0.9857025146484375,0.527236711786068,0.991069602300137,0.4521522521972656,10.760756286950544
2,10.351481,7.968702,0.7698127,0.011920928955078125,32.11835,29.01535,0.0001099914,144.36504,0.90338856,0.0,-1.2990035,-0.9999894,1.06256675e-05,1312512.0,4.370066928863525,0.2653160095214844,-0.7506134160033592,39730.98716768682,10.088872,6.9515405,0.0001855994,24.488174,0.68903047,0.9943428039550781,1.7740271,1.3656685,2.3656685,131941.02,3.1835423,21.50860595703125,0.8951377868652344,1.4001182054669998,39730.98716768682,222637.17,0.9943389892578125,0.52576,1.0,0.62982177734375,4.921802413361379
3,1.8745068,2.768632,1.4769921,0.012172698974609375,14.393006,14.571425,0.015513274,134.6816,1.0123962,0.003055572509765625,-0.6714484,-0.9917241,0.008275922,8681.7,2.2859933376312256,0.6584587097167969,0.1486244889551624,147.35724736332543,1.7202452,1.7856154,0.00081808504,9.545011,1.0380005,0.9938507080078125,2.7705033,4.0920115,5.0920115,11667.504,8.366834,3.801616907119751,0.8910865783691406,0.6960513788436652,147.35724736332543,615.2802,0.9907913208007812,0.4951425885302413,0.9969067745884388,0.23262786865234375,1.6630043686212284
4,7.7616816,10.120048,1.3038473,0.006610870361328125,47.557632,48.491085,0.022124745,202.16066,1.0196278,0.001804351806640625,-0.76477474,-0.99714947,0.0028505092,9137.311,0.46856727004051213,0.14090347290039062,-0.7206600795833706,21.178425833287594,7.4968452,8.765798,0.01775865,37.384518,1.1692648,0.9967231750488281,2.927144,3.8165488,4.816549,2105.144,6.343686,23.194908142089844,0.8966636657714844,1.5250152214940595,21.178425833287594,1689.7152,0.9949150085449219,0.5049047893825735,0.9981836404760167,0.7557601928710938,49.501767675929266
5,6036274.0,2746761.2,0.4550425,0.03308868408203125,12215555.0,11563677.0,136094.52,74782830.0,0.9466354,0.0,-2.1480496,-0.9774539,0.022546113,549.4919,4096878.975,0.16497421264648438,-0.7060661078570262,30.103189362080514,5824813.5,1369490.0,3571554.8,8401459.0,0.23511311,0.9866065979003906,0.8610814,0.39182863,1.3918287,2.3523254,2.0971582,7516432.0,0.8874168395996094,0.5388739192385213,30.103189362080514,61.732533,0.986602783203125,0.5953424025824302,1.0,0.722442626953125,1.8346726974037597
6,3026697.2,478054.16,0.15794581,0.00379180908203125,7154632.5,3912836.8,322586.6,29772110.0,0.54689556,0.0,-5.6564946,-0.8934196,0.1065804,92.29184,2816810.6,0.35411834716796875,-0.43904366745059525,8.73195183735065,3010984.8,325616.84,2495008.8,3819414.0,0.10814297,0.997161865234375,1.6582154,0.26190817,1.2619082,1.5308219,2.3761768,3497358.025,0.8973464965820312,0.98453442742137,8.73195183735065,11.839965,0.9971580505371094,0.25251509054325955,1.0,0.5432281494140625,1.2416021244026842
7,1.4038197,2.2752097,1.6207279,0.0146636962890625,12.448229,10.538259,0.0071493094,67.24068,0.8465669,0.00595855712890625,-0.6138645,-0.9949072,0.005092755,9405.199,1.4730115413665772,0.661346435546875,0.030411202188512322,206.03550104295408,1.2394576,1.3261263,0.0012799539,5.6748133,1.0699247,0.990203857421875,1.8771869,3.042409,4.042409,4433.6074,10.043287,3.3252495288848882,0.8897247314453125,0.8445067186451614,206.03550104295408,793.75684,0.9842414855957031,0.3322060353798127,0.9939527680991096,0.2283782958984375,2.2574497453020013
8,3122794.8,1799898.0,0.5763741,0.013210296630859375,12521176.0,12372598.0,134145.31,53973348.0,0.98813385,0.0,-1.6604549,-0.95704323,0.042956814,402.34985,1941770.2250000003,0.001323699951171875,-0.6561619186198328,14.475125435337148,2996977.8,188076.38,2591637.5,3436361.2,0.06275535,0.9899482727050781,0.17421348,0.10041214,1.1004121,1.325942,4.177934,3250121.5,0.8911247253417969,0.07074109199521306,14.475125435337148,25.616707,0.9899444580078125,0.2393878140340745,1.0,0.889801025390625,1.6737930462395465
9,382387.8,1811017.4,4.736075,0.01651763916015625,8675060.0,11308080.0,10945.033,62797644.0,1.303516,1.9073486328125e-05,-0.20510173,-0.97137713,0.02862286,5737.5474,544967.78125,0.9609298706054688,0.0897727271942932,49.79133193441589,243111.98,113460.664,2920.9758,727619.44,0.46670124,0.9857444763183594,0.19062856,0.90283114,1.9028312,249.10149,35.68339,367220.3312500001,0.8860054016113281,-0.008375116362425786,49.79133193441589,66.479416,0.9857215881347656,0.1371824480369515,0.9999806061734429,-0.07492446899414062,0.673838608234237
10,385483.84,754270.44,1.956685,0.01360321044921875,3904987.0,4861190.0,34818.734,28421074.0,1.2448671,0.047252655029296875,-0.46490636,-0.9096753,0.09032476,816.2581,379268.265625,0.6290016174316406,-0.008240516684707003,10.892649386398038,336947.1,278739.28,518.02136,1259461.0,0.8272494,0.9912528991699219,1.1587052,2.2672212,3.2672212,2431.2915,11.589318,753675.1750000003,0.890655517578125,0.48814233323309886,10.892649386398038,36.171936,0.9439964294433594,0.3572630398205272,0.9520956925956577,0.2616539001464844,1.987182275210955
11,2.1359136,5.6154876,2.6290798,0.00859832763671875,26.123375,47.11132,0.004521629,256.6263,1.8034164,0.004985809326171875,-0.379556,-0.9978831,0.002116953,56755.28,2.196952223777771,0.7541999816894531,0.010869690743394639,485.8762849990381,1.9278731,2.743035,0.00024085665,11.0540085,1.4228296,0.9955253601074219,1.5881248,4.175307,5.175307,45894.555,13.55036,7.144708061218263,0.8952713012695312,0.8919607395420606,485.8762849990381,2444.696,0.9905357360839844,0.4800354924578527,0.9949709492477586,0.14107131958007812,3.252099879046334
12,1.1803569,5.615223,4.757225,0.00739288330078125,51.345825,40.53431,0.013323905,136.81337,0.7894373,0.026103973388671875,-0.20783377,-0.98871195,0.011288031,10268.264,7.687578105926514,0.99334716796875,1.15885358886601,576.9763546667185,0.8067271,0.8034066,0.00015491212,3.404708,0.99588394,0.9929084777832031,0.39612868,1.8844732,2.8844733,21978.318,63.64708,2.0965945720672607,0.8935699462890625,0.16317031811206137,576.9763546667185,255.53378,0.9668006896972656,0.0412796697626419,0.9737016056509074,-0.0997772216796875,0.2727249782933525
13,443339.2,2252928.5,5.0817266,0.010746002197265625,14645758.0,16279501.0,12934.599,51294816.0,1.1115506,0.00125885009765625,-0.19104227,-0.9708246,0.0291754,3965.706,514248.9750000001,0.83795166015625,0.03147449530688617,39.75762909994384,289062.1,192479.55,1191.2292,851552.94,0.66587615,0.990692138671875,0.1811925,0.92077076,1.9207708,714.8523,50.666477,563008.1999999998,0.8914756774902344,0.05311709293037921,39.75762909994384,65.83528,0.9894294738769531,0.134185303514377,0.9987274753496551,0.053524017333984375,1.0948163776116417
14,2.7867033,7.491326,2.6882393,0.01263427734375,34.03538,52.841988,0.01917202,244.0409,1.5525604,0.0173492431640625,-0.36943147,-0.9931202,0.006879821,12729.013,1.0892547011375426,0.524688720703125,-0.22658854785117855,56.814810675319876,2.3868475,2.9074721,0.0012416724,11.847013,1.2181222,0.9930763244628906,1.2094401,3.2512648,4.2512646,9541.175,14.259554,7.219020986557006,0.8933181762695312,0.5916599710167417,56.814810675319876,617.93243,0.9757232666015625,0.4522946859903382,0.9824287568770477,0.36862945556640625,6.627486646619893
15,433863.5,984235.6,2.2685375,0.007213592529296875,8258402.5,7879617.5,84275.75,38495830.0,0.9541334,0.09644699096679688,-0.35518706,-0.80575514,0.19424485,456.7842,705081.875,0.8696861267089844,0.2755624447143945,8.366367252738778,377010.34,276662.4,293.10306,1501523.8,0.7338324,0.9952888488769531,1.0847608,2.4608207,3.4608207,5122.8525,21.904976,757395.1750000002,0.8943405151367188,0.3287136400899939,8.366367252738778,17.816795,0.8988380432128906,0.34743521946060285,0.9028522245660953,0.024654388427734375,1.0741946458345708
16,110814.805,528735.7,4.771345,0.003749847412109375,7207122.5,4851517.5,75112.74,25805138.0,0.67315596,0.4452552795410156,-0.06752346,-0.32217774,0.6778223,343.55206,1140785.175,0.9966278076171875,1.9479872357064985,15.187638498835762,84104.6,41988.414,188.65315,236281.23,0.4992404,0.9963035583496094,0.23729518,1.1322172,2.1322172,1252.4637,85.69237,146830.25,0.8966407775878906,0.06811616118214074,15.187638498835762,3.1456878,0.5510444641113281,0.015259409969481181,0.553068796642684,-0.09998703002929688,0.12870981602649245
17,2.2543643,4.1683707,1.8490227,0.01522064208984375,23.541157,17.328636,0.0053364327,111.461815,0.7360996,0.0019378662109375,-0.539546,-0.9976328,0.0023671563,20886.953,4.8497429370880125,0.8686752319335938,0.6226362425553728,908.79866637603,1.9253583,2.4271398,0.0013237771,12.599302,1.2606171,0.9894065856933594,2.4817703,4.5888495,5.5888495,9517.691,12.226896,5.342374944686894,0.888031005859375,0.7408195904987445,908.79866637603,2360.997,0.9874649047851562,0.3042606516290727,0.9980321823407733,0.01935577392578125,1.1015789937713023
